Height_m,Weight_kg,Job,bmi,bmi_category,Job_encode
1.63,96.58,biologist,36.35063419774926,Overweight,3
1.51,89.81,engineer,39.38862330599535,Overweight,11
1.5,72.78,nurse,32.346666666666664,Overweight,19
1.86,76.33,architect,22.063244305700078,Normal weight,1
1.51,68.9,musician,30.21797289592562,Overweight,18
1.63,85.55,graphic designer,32.19917949490007,Overweight,13
1.88,73.47,pilot,20.787120869171574,Normal weight,22
1.72,56.32,police officer,19.03731746890211,Normal weight,24
1.73,97.31,economist,32.513615556817804,Overweight,9
1.63,78.95,firefighter,29.715081485942267,Overweight,12
1.9,54.02,salesperson,14.96398891966759,Underweight,26
1.72,92.52,chemist,31.27366143861547,Overweight,5
1.59,97.29,chemist,38.483446066215734,Overweight,5
1.69,88.24,architect,30.895276776023252,Overweight,1
1.8,80.48,chemist,24.839506172839506,Normal weight,5
1.67,66.09,marketing manager,23.697515149342035,Normal weight,16
1.51,54.05,doctor,23.70510065348011,Normal weight,8
1.89,51.41,pharmacist,14.39209428627418,Underweight,20
1.59,51.23,firefighter,20.26423005419089,Normal weight,12
1.86,74.11,architect,21.421551624465252,Normal weight,1
1.67,69.65,teacher,24.97400408763312,Normal weight,29
1.99,66.96,nurse,16.908663922628214,Underweight,19
1.99,92.22,nurse,23.28729072498169,Normal weight,19
1.78,85.14,chemist,26.87160712031309,Overweight,5
1.56,94.9,doctor,38.995726495726494,Overweight,8
1.78,92.93,journalist,29.33026133064007,Overweight,14
1.7,76.54,biologist,26.48442906574395,Overweight,3
1.95,52.04,teacher,13.685733070348455,Underweight,29
1.92,56.93,firefighter,15.443250868055555,Underweight,12
1.76,51.8,plumber,16.722623966942148,Underweight,23
1.97,53.26,teacher,13.723620809606018,Underweight,29
1.78,87.82,police officer,27.717459916677186,Overweight,24
1.76,60.79,engineer,19.624870867768596,Normal weight,11
1.75,71.8,graphic designer,23.444897959183674,Normal weight,13
1.82,51.96,marketing manager,15.686511290906894,Underweight,16
1.59,66.05,engineer,26.126339939084684,Overweight,11
1.51,90.85,economist,39.84474365159423,Overweight,9
