Height_m,Weight_kg,Job
1.63,96.58,biologist
1.51,89.81,engineer
1.5,72.78,nurse
1.86,76.33,architect
1.51,68.9,musician
1.63,85.55,graphic designer
1.88,73.47,pilot
1.72,56.32,police officer
1.73,97.31,economist
1.63,78.95,firefighter
1.9,54.02,salesperson
1.72,92.52,chemist
1.59,97.29,chemist
1.69,88.24,architect
1.8,80.48,chemist
1.67,66.09,marketing manager
1.51,54.05,doctor
1.89,51.41,pharmacist
1.59,51.23,firefighter
1.86,74.11,architect
1.67,69.65,teacher
1.99,66.96,nurse
1.99,92.22,nurse
1.78,85.14,chemist
1.56,94.9,doctor
1.78,92.93,journalist
1.7,76.54,biologist
1.95,52.04,teacher
1.92,56.93,firefighter
1.76,51.8,plumber
1.97,53.26,teacher
1.78,87.82,police officer
1.76,60.79,engineer
1.75,71.8,graphic designer
1.82,51.96,marketing manager
1.59,66.05,engineer
1.51,90.85,economist
1.63,59.59,chemist
1.79,60.53,firefighter
1.71,93.32,artist
1.9,61.18,data analyst
1.66,72.09,police officer
1.67,57.44,musician
1.57,51.06,psychologist
1.99,65.6,physicist
1.72,64.07,mechanic
1.91,98.1,chef
1.89,79.77,mechanic
1.59,53.28,graphic designer
1.91,79.07,engineer
1.96,79.1,graphic designer
1.79,85.93,marketing manager
1.53,71.84,plumber
1.85,85.05,data analyst
1.53,56.52,biologist
1.6,93.56,teacher
1.72,85.24,scientist
1.61,92.42,artist
1.77,60.17,electrician
1.59,79.77,salesperson
1.82,84.7,engineer
1.71,57.72,plumber
1.6,51.49,data analyst
1.97,54.92,lawyer
1.91,59.56,marketing manager
1.75,80.57,software developer
1.84,91.47,pharmacist
1.8,75.37,nurse
1.68,70.86,musician
1.8,72.88,accountant
1.79,52.39,journalist
1.6,86.2,firefighter
1.57,85.67,data analyst
1.65,88.56,lawyer
1.82,95.54,economist
1.58,91.35,physicist
1.98,51.57,electrician
1.9,86.15,economist
1.69,66.37,plumber
1.95,90.95,lawyer
1.86,73.32,journalist
1.98,53.47,lawyer
1.56,93.04,architect
1.58,88.54,chemist
1.75,58.34,biologist
1.67,76.13,engineer
1.68,65.16,salesperson
1.66,55.89,teacher
1.87,81.86,graphic designer
1.97,86.16,pilot
1.99,75.9,marketing manager
